air_date,weekday,start_hhmm,time_slot,channel,channel_type,brand,product_name,category,price,url
2026-08-19,수,03:20,새벽 03-06,공영쇼핑,TV홈쇼핑,[No brand names found.],국내산 손질 아귀 300g × 10팩 / 총 3.0kg,기타,39900,http://m.gongyoungshop.kr/gate/selectAliance.do?alcLnkCd=hsmoa&tgUrl=/goods/selectGoodsDetail.do?prdId=11942668
2026-08-19,수,03:20,새벽 03-06,현대홈쇼핑,TV홈쇼핑,코지마,[60개월]코지마 안마의자 오블리크 CMC-A33,가전,3080000,https://www.hmall.com/md/pda/itemPtc?utm_source=homemoadata&utm_medium=cps&utm_campaign=sale&ReferCode=s61&slitmCd=2221997742&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:20,새벽 03-06,NS홈쇼핑,TV홈쇼핑,[No brand names found.],코지마 목어깨마사지기,기타,198000,https://m.nsmall.com/gate?ptnCd=539&hsmoa_userid=&target=/goods/36045473&hsmoa_code=moa
2026-08-19,수,03:20,새벽 03-06,NS홈쇼핑,TV홈쇼핑,[No brand names found.],신라온돌흙침대 예가 가드형 카우치소파+리프트업테이블+도자기 12P,가구인테리어,1399000,https://m.nsmall.com/gate?ptnCd=538&hsmoa_userid=&target=/goods/36000441&hsmoa_code=moa
2026-08-19,수,03:20,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,[No brand names found.],○ 26FW 핀턱 니팅 데님팬츠 2종,패션의류,69900,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171634&chl_dtl_no=2584694&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12918113&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:20,새벽 03-06,홈앤쇼핑,TV홈쇼핑,드 모아,(방송에서만세트구매가능)드모아 에어웹 W 필로우 베개 총 3세트,침구,169000,http://m.hnsmall.com/goods/view/81688061?channel_code=20397&utm_source=Hsmoa&utm_medium=AF&utm_campaign=TV_None_81688061&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:22,새벽 03-06,GS샵,TV홈쇼핑,[No brand names found.],코어 어센틱 26FW 젠 스니커즈,패션잡화,69800,https://m.gsshop.com/alia/aliaGate.gs?media=LVA&gourl=/prd/prd.gs?prdid=1130375195&hsmoa_userid=&hsmoa_code=moa&utm_source=nscreen&utm_medium=affiliate&utm_campaign=homeshopmoa
2026-08-19,수,03:24,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,No brand names found.,● 베네통정품 26FW 여성 니트 가디건 2종,패션의류,129000,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171634&chl_dtl_no=2584694&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12919864&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:25,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,바이브리짓,"(런칭가 69,900원) 시어 반팔 셔츠 3종",패션의류,39900,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171633&chl_dtl_no=2584697&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12853654&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:25,새벽 03-06,홈앤쇼핑,TV홈쇼핑,한채원,"[한채원] 밥대신 현미귀리 곤약즉석밥 150g, 20개입",식품,32900,http://m.hnsmall.com/goods/view/81436826?channel_code=20397&utm_source=Hsmoa&utm_medium=AF&utm_campaign=TV_None_81436826&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:25,새벽 03-06,현대홈쇼핑,TV홈쇼핑,알레보,알레보 오브 파밀리아 키친툴 7P,기타,79800,https://www.hmall.com/md/pda/itemPtc?utm_source=homemoatv&utm_medium=cps&utm_campaign=sale&ReferCode=dm1&slitmCd=2251329848
2026-08-19,수,03:25,새벽 03-06,CJ온스타일,TV홈쇼핑,지춘희,26FW 뉴클래식 울실크 로장지스카프,패션잡화,99000,https://display.cjonstyle.com/m/item/2089249191?infl_cd=I0482&utm_medium=pcs&utm_source=hsmoa&channelCode=30002002&chn_cd=30002002&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:25,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,[No brand names found.],○ 포세이돈 텀블러 세트 (1200ml +1200ml),생활용품,39900,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171634&chl_dtl_no=2584694&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12919457&hsmoa_userid=&hsmoa_code=moa
